"Document 1","Document 2",Similarity,Words1,Words2
2035,110,0.077259963315728,absolut,adher
"uk-news  Opinion ","world  Opinion ",,abus,admit
,,,activ,airport
,,,acut,alexi
,,,address,alli
,,,adher,american
,,,administr,amsterdam
,,,adult,annoi
,,,affirm,antiestablish
,,,african,anxieti
,,,alcohol,anybodi
,,,america,arrang
,,,american,arrog
,,,analyst,asia
,,,apparatu,author
,,,appear,authoritarian
,,,area,autocraci
,,,author,autocrat
,,,autumn,barbarian
,,,bad,bard
,,,balanc,battl
,,,bale,belong
,,,base,best
,,,beat,better
,,,begin,bloodi
,,,bereft,book
,,,beset,border
,,,better,brand
,,,biggest,brotherhood
,,,billion,bureaucrat
,,,bitter,burn
,,,bluecollar,buruma
,,,brexit,busi
,,,britain,call
,,,british,came
,,,busi,care
,,,care,cater
,,,cast,caus
,,,catalogu,centuri
,,,chancellor,chairman
,,,chang,champion
,,,chosen,chanc
,,,citizen,charisma
,,,clark,charismat
,,,click,chauvin
,,,clinton,china
,,,close,chines
,,,collaps,choos
,,,colleg,chosen
,,,comment,christian
,,,common,citi
,,,commun,claim
,,,compens,click
,,,compil,clinton
,,,consist,coincid
,,,continu,colleg
,,,control,comfort
,,,convinc,comment
,,,countri,common
,,,countylevel,commun
,,,cours,confucian
,,,creat,contribut
,,,creation,corrupt
,,,crisi,countri
,,,critic,crave
,,,current,credibl
,,,cut,critic
,,,danni,cult
,,,darker,damn
,,,data,danger
,,,death,death
,,,debat,debat
,,,decad,decad
,,,declin,declin
,,,deficit,deepli
,,,degre,defer
,,,deindustrisalis,degener
,,,dem,deiti
,,,deni,demagogu
,,,depth,democraci
,,,destruct,democrat
,,,diabet,deserv
,,,die,desir
,,,dispel,develop
,,,disproportion,dictat
,,,distract,didnt
,,,doesnt,diminish
,,,donald,dirti
,,,dorl,disappear
,,,drink,doe
,,,drug,doesnt
,,,dysfunct,domin
,,,earli,donald
,,,earlier,drawn
,,,econom,dream
,,,economi,earth
,,,economist,east
,,,educ,ecstat
,,,effect,educ
,,,elderli,elect
,,,employ,elit
,,,energi,elitist
,,,entir,end
,,,envelop,especi
,,,epidem,europ
,,,especi,european
,,,european,experi
,,,evalu,expert
,,,exampl,expertis
,,,exercis,explain
,,,expect,fail
,,,experi,faith
,,,explain,fallen
,,,explan,far
,,,fall,farright
,,,fallen,father
,,,faster,fear
,,,fastgrow,figur
,,,felt,find
,,,fewer,forc
,,,figur,form
,,,firm,forthcom
,,,fissipar,franc
,,,forgiven,freedom
,,,foundat,futur
,,,fraction,gather
,,,friend,geert
,,,fulltim,glad
,,,futil,gloriou
,,,futur,god
,,,gain,gogh
,,,gather,good
,,,gave,govern
,,,gener,grab
