className,technology,travel,sport,society,"uk news","world news",books,environment,politics,business,"us news",fashion,culture,opinion,"television & radio","life and style","art and design",football,film,science
technology,1,0.75085234366014,0.79627373177141,0.80195297012636,0.75638431450503,0.76792354825845,0.8138163577692,0.83673390683934,0.7435874368203,0.84902890590599,0.76868652262975,0.75979978237239,0.81420206902988,0.85236845528169,0.8034568155353,0.80331784928428,0.77777595448062,0.69310508006279,0.77042807124172,0.83221676936168
travel,0.75085234366014,1,0.77498121557784,0.67175484140489,0.64523283129492,0.66412471839292,0.81566227324576,0.78399824758423,0.6049435887691,0.75371174781507,0.62620015065993,0.79455240512545,0.84701708804208,0.78150895938744,0.82240511590939,0.85907815885521,0.82399507835243,0.68022451436899,0.80429335251545,0.78926015680498
sport,0.79627373177141,0.77498121557784,1,0.7361773695194,0.69849071335673,0.70876298608838,0.80719527635753,0.78741715320715,0.69583234133994,0.80526155808912,0.70963169879238,0.79452219467675,0.83475960604947,0.82494024006907,0.84461046448998,0.82589948000423,0.78343910753171,0.85744407707427,0.82408835838845,0.80615686012037
society,0.80195297012636,0.67175484140489,0.7361773695194,1,0.80874657215996,0.78512661137013,0.74385738078296,0.79953011365193,0.79296505616612,0.8179418806009,0.75720944002356,0.66681832046934,0.74077691555758,0.80933593668375,0.72025167335995,0.72842963694731,0.7072526168579,0.65107132329952,0.67817716352468,0.75481228432523
"uk news",0.75638431450503,0.64523283129492,0.69849071335673,0.80874657215996,1,0.84880933847614,0.70987077714106,0.73604839361444,0.76668235572834,0.73685833030243,0.79035391098989,0.59993299264368,0.71286493581581,0.74770043543428,0.6945929806665,0.65773244126408,0.68145287831553,0.62034912166939,0.6243071089866,0.69297971811825
"world news",0.76792354825845,0.66412471839292,0.70876298608838,0.78512661137013,0.84880933847614,1,0.74227320363001,0.76876332225063,0.78044061483043,0.75331152303589,0.84589541343731,0.62272812641923,0.72240510361645,0.80839234169606,0.70117987818038,0.66721178709176,0.70339004520542,0.63420978326202,0.6518279507007,0.70861028421782
books,0.8138163577692,0.81566227324576,0.80719527635753,0.74385738078296,0.70987077714106,0.74227320363001,1,0.8245519610555,0.70754918455636,0.80670953677903,0.73492168662749,0.8232239845388,0.89744918076525,0.88243294892207,0.87551895425117,0.85768146659899,0.8677831744977,0.69850831921554,0.86581238465443,0.85632846643593
environment,0.83673390683934,0.78399824758423,0.78741715320715,0.79953011365193,0.73604839361444,0.76876332225063,0.8245519610555,1,0.74782518614831,0.86323352845982,0.75587898294677,0.76010477017482,0.81015930702721,0.87389116215971,0.78322042046479,0.80699562597085,0.78859321905865,0.68069636410405,0.77859266916946,0.86689103762965
politics,0.7435874368203,0.6049435887691,0.69583234133994,0.79296505616612,0.76668235572834,0.78044061483043,0.70754918455636,0.74782518614831,1,0.80451011205971,0.78760212920047,0.62038691506575,0.68792226851356,0.81508822367892,0.66922995562418,0.65251509134461,0.67302656083941,0.61924695532205,0.62783310741585,0.68817689165068
business,0.84902890590599,0.75371174781507,0.80526155808912,0.8179418806009,0.73685833030243,0.75331152303589,0.80670953677903,0.86323352845982,0.80451011205971,1,0.76020866052551,0.78447814723575,0.79860186908993,0.87295548799108,0.77489190718781,0.79685465364257,0.76681623337178,0.7024362445122,0.78133071246782,0.81808390972634
"us news",0.76868652262975,0.62620015065993,0.70963169879238,0.75720944002356,0.79035391098989,0.84589541343731,0.73492168662749,0.75587898294677,0.78760212920047,0.76020866052551,1,0.62714164518875,0.71244405544045,0.81376211908119,0.70268926587672,0.65710792189231,0.69164500309112,0.62609247661761,0.65917569141845,0.69551226027036
fashion,0.75979978237239,0.79455240512545,0.79452219467675,0.66681832046934,0.59993299264368,0.62272812641923,0.8232239845388,0.76010477017482,0.62038691506575,0.78447814723575,0.62714164518875,1,0.85035772716638,0.82293974777524,0.84100229444091,0.86883546648393,0.81566205265011,0.6992967597564,0.85122018456289,0.80465552446199
