"  Sport ",19,1|122|149|151|154|228|262|511|772|773|775|776|1267|1513|1514|1515|1516|1521|2114|,0|106|120|122|125|180|192|232|323|324|326|327|478|542|543|544|545|548|661|
"  UK news ",39,2|23|25|26|27|33|36|41|113|693|694|698|700|707|708|710|716|719|722|727|728|735|736|741|746|857|868|1439|1440|1441|1450|2054|2056|2057|2059|2060|2061|2081|2089|,1|22|24|25|26|32|35|40|97|246|247|251|253|260|261|263|269|272|275|280|281|288|289|294|299|377|388|487|488|489|498|614|616|617|619|620|621|639|647|
"  Opinion ",62,3|5|19|43|44|45|50|51|53|55|57|58|60|63|64|110|125|156|497|704|706|715|717|720|723|737|749|768|778|779|780|782|798|863|864|873|1434|1442|1449|1451|1454|1456|1457|1460|1466|1523|2032|2033|2035|2036|2037|2038|2041|2046|2058|2082|2085|2087|2093|2119|2120|2206|,2|4|18|42|43|44|49|50|52|54|56|57|59|62|63|94|109|126|218|257|259|268|270|273|276|290|302|319|329|330|331|332|345|383|384|392|482|490|497|499|502|504|505|508|514|549|592|593|595|596|597|598|601|606|618|640|643|645|651|662|663|700|
"  Society ",33,4|7|9|18|24|49|52|54|61|66|69|120|175|690|695|696|697|699|701|725|732|753|818|852|1443|1464|1465|1664|2039|2063|2073|2100|2424|,3|6|8|17|23|48|51|53|60|65|68|104|135|243|248|249|250|252|254|278|285|306|365|373|491|512|513|588|599|623|631|657|705|
"  Business ",29,6|8|17|20|21|22|85|171|473|481|485|501|691|702|712|733|739|750|789|797|867|1186|1198|1435|1444|1455|2425|2429|2439|,5|7|16|19|20|21|79|134|194|202|206|222|244|255|265|286|292|303|337|344|387|461|473|483|492|503|706|710|720|
"  Politics ",41,10|14|29|30|35|38|40|115|118|494|516|709|711|713|718|724|740|742|743|745|936|1058|1119|1252|1312|1374|1433|1437|1438|1448|1452|1458|1463|1493|1653|1917|2049|2051|2090|2099|2423|,9|13|28|29|34|37|39|99|102|215|237|262|264|266|271|277|293|295|296|298|447|450|451|477|479|480|481|485|486|496|500|506|511|535|587|591|609|611|648|656|704|
"  World news ",100,11|32|48|70|74|75|76|78|79|81|86|87|88|91|93|99|101|111|114|116|117|119|123|126|127|128|130|131|136|148|162|165|166|182|729|730|756|761|762|763|764|765|766|784|794|813|814|815|817|838|847|853|856|858|859|862|865|866|869|870|874|875|876|991|1191|1436|1453|1469|1471|1472|1479|1480|1487|1488|1490|1491|1494|1495|1526|1556|1648|2052|2064|2067|2072|2074|2075|2077|2080|2083|2084|2086|2088|2091|2092|2094|2095|2096|2097|2152|,10|31|47|69|72|73|74|76|77|78|80|81|82|84|85|89|90|95|98|100|101|103|107|110|111|112|114|115|118|119|129|130|131|140|282|283|309|312|313|314|315|316|317|334|341|360|361|362|364|368|371|374|376|378|379|382|385|386|389|390|393|394|395|448|466|484|501|517|519|520|525|526|530|531|533|534|536|537|551|567|586|612|624|627|630|632|633|635|638|641|642|644|646|649|650|652|653|654|655|671|
"  Life and style ",22,12|46|62|159|179|183|184|185|491|492|493|504|795|812|1181|1447|1549|2044|2055|2135|2149|2436|,11|45|61|127|137|141|142|143|212|213|214|225|342|359|456|495|565|604|615|667|670|717|
"  Environment ",16,13|334|721|726|748|751|800|816|1445|1459|1461|1462|1524|2065|2076|2078|,12|193|274|279|301|304|347|363|493|507|509|510|550|625|634|636|
"  Technology ",11,15|68|169|734|796|1179|1199|1532|1541|1545|2215|,14|67|132|287|343|454|474|555|560|562|701|
"  Art and design ",2,16|1673|,15|589|
"  Culture ",4,28|767|791|2070|,27|318|338|628|
"  Television & radio ",11,31|47|67|181|752|803|1468|1539|1548|2045|2144|,30|46|66|139|305|350|516|558|564|605|669|
"  Media ",6,34|39|109|692|731|1185|,33|38|93|245|284|460|
"  Global ",2,37|2042|,36|602|
"  News ",4,42|65|2034|2040|,41|64|594|600|
"  Film ",14,56|150|170|486|769|770|783|802|804|1467|1475|1531|2427|2445|,55|121|133|207|320|321|333|349|351|515|523|554|708|726|
"  Music ",14,59|180|705|738|792|799|806|871|1547|2079|2123|2139|2397|2484|,58|138|258|291|339|346|353|391|563|637|664|668|702|730|
"  US news ",36,71|73|77|89|102|108|112|121|132|133|161|178|754|755|757|758|787|788|805|854|860|992|1473|1474|1489|1498|1503|1509|1529|1776|2071|2110|2111|2124|2132|2197|,70|71|75|83|91|92|96|105|116|117|128|136|307|308|310|311|335|336|352|375|380|449|521|522|532|538|539|540|552|590|629|659|660|665|666|699|
"  Global Development Professionals Network ",3,94|771|1470|,86|322|518|
"  Global development ",8,96|129|498|833|845|850|1478|1484|,87|113|219|367|370|372|524|528|
"  Science ",5,98|703|810|1540|2047|,88|256|357|559|607|
