docID,"life and style","television & radio","life and style",environment,"life and style","television & radio",technology,music,"life and style",environment,film,"life and style",music,environment,"life and style",music,"television & radio","television & radio",music,"life and style",film,music,film,"television & radio","life and style","life and style",environment,film,"television & radio",film,music,film,environment,film,"life and style",film,film,film,music,"television & radio",technology,"life and style","life and style",technology,music,"television & radio",environment,music,"life and style",music,"life and style","life and style","television & radio",technology,environment,"life and style","television & radio","life and style",music,technology,environment,film,environment,environment,music,"life and style","life and style",technology,"life and style",environment,"television & radio",technology,music,environment,technology,environment,technology,"life and style",music,environment,technology,environment,environment,film,"life and style",technology,film,film
"life and style",1,0.02240583060544,0.021822131793968,0.01188235576066,0.06722449625111,0.021051893463815,0.024434076116367,0.017764689016911,0.011282494565271,0.011408322890554,0.035086689209655,0.012911620879106,0.025504687688649,0.015615002906313,0.047446691838958,0.015886253763937,0.025888439683442,0.0097076367469064,0.023777933714466,0.028127276410481,0.052633369551441,0.035642938691025,0.014902901614641,0.013518831477222,0.035359352094645,0.14671657447076,0.015871735860806,0.015952277356404,0.0055345033575905,0.031195621535408,0.014561278242334,0.021937109937177,0.018016402149986,0.010840034974803,0.02678909485083,0.0035687637791285,0.024675316897563,0.020136094336516,0.013605340865057,0.036384758572349,0.01516877745971,0.019991386586609,0.026813150453749,0.0089214100164056,0.025507274823659,0.091589920882527,0.024747944104665,0.010804537029635,0.034448024954438,0.0080724297580663,0.12501737288938,0.023621065951482,0.017093148605467,0.02630330585201,0.013360399063654,0.061578712613229,0.024037276722337,0.026482652303172,0.0075229939619692,0.020089441242259,0.0033939714606483,0.034721778842484,0.010006756187415,0.023749675704226,0.017032109239193,0.046751558305661,0.011224813290839,0.029336155161035,0.027791881097823,0.024582391450434,0.026969296365268,0.030510543863352,0.048700168183383,0.0093561732763471,0.036858422160202,0.068223112563853,0.013492484621746,0.028659434518314,0.035642938691025,0.03393018691829,0.019628772365542,0.016647108453957,0.0073683451479234,0.029149453605452,0.015006755608991,0.032488546237996,0.0094181761297819,0.034925890579226
"television & radio",0.02240583060544,1,0.022524206654981,0.0062259388053517,0.014755601228668,0.023979157901331,0.012598227496127,0.026602496054397,0.016079087203074,0.0062558157014737,0.094678207440857,0.017991835215146,0.027936810072617,0.011485760396344,0.017068031827796,0.012480826171742,0.040521468208234,0.035431110403164,0.014276054446999,0.02136876659725,0.03024362730347,0.02757363064252,0.021715821716911,0.038945542252887,0.055681159758622,0.029108102158703,0.010789168105651,0.059999493229316,0.014854303475843,0.024695523835686,0.029267253818237,0.042860347803874,0.010598555139815,0.03786407513566,0.063862990124702,0.017212955532845,0.059978177391754,0.048742636766447,0.012314550725222,0.049120755028019,0.011017834180705,0.014834688263075,0.032566893690738,0.0042746576118987,0.027939643916353,0.0072023895629523,0.0080775511967068,0.015208838889897,0.019856774874775,0.022236707359452,0.018576022373152,0.046788218653887,0.087994089426902,0.0082064095681834,0.0084476789925409,0.031012002692777,0.012916587788719,0.086758305399744,0.0099813213090592,0.021810852560664,0.010199583295589,0.022445743158719,0.013615606198613,0.022990452187274,0.032875935106876,0.013107941721056,0.00179745861484,0.019541594478596,0.012123442293324,0.0080235159994943,0.061033710685144,0.01189967672298,0.014231910859266,0.0089813161500796,0.069834226571884,0.014925662949145,0.010479683690344,0.03750916977407,0.02757363064252,0.012540971975806,0.01239569113035,0.011264048322844,0.0055755813722002,0.026665142675516,0.010095207923137,0.013190150569412,0.030318275368816,0.056136614000942
"life and style",0.021822131793968,0.022524206654981,1,0.0069033402531193,0.024570759899932,0.020189584925387,0.012616205700057,0.016918167102264,0.023868208254326,0.0084307549706915,0.042440421290497,0.029530623751499,0.025070985815143,0.016565556982575,0.034673223587888,0.011123578009955,0.026374183180804,0.011533977654275,0.0040885166118202,0.044095490962721,0.025857160116568,0.024776434718566,0.0044058494651188,0.041184129886152,0.026631792226674,0.033597460371986,0.018705539443853,0.014421457621131,0.02894990358212,0.019364597218297,0.021985778534809,0.021416432253202,0.016641674125002,0.0075795361528604,0.036049185631401,0.011240243346227,0.042804738075234,0.044138610047166,0.0095054980582965,0.017121194086996,0.016465649285569,0.013936097497987,0.027528191620448,0.0077170900769499,0.025073528956464,0.013678056232454,0.031474584141859,0.013941868777079,0.020023356913191,0.017261564103891,0.040638530466285,0.039172373319599,0.03372231096639,0.024822531123679,0.022694595741124,0.034804456461477,0.015498607615368,0.024029101731729,0.024272536232587,0.0061368154109624,0.035361006830142,0.023978965273937,0.025674441974025,0.029631480057787,0.0677719825552,0.022463920205184,0.015893111685608,0.014782562735151,0.018900938439226,0.027518880216235,0.034413666555124,0.024203952058661,0.017138411061209,0.0068170984109569,0.034740354852197,0.0037092892287791,0.0088854435706282,0.038306649238031,0.024776434718566,0.005355247773962,0.027777413666252,0.029053808299273,0.008803118568089,0.017369302845711,0.015093822507755,0.023233461757301,0.016077727103118,0.020966262150035
environment,0.01188235576066,0.0062259388053517,0.0069033402531193,1,0.0061750033960401,0.011314728031751,0.022279735973669,0.0085156521811692,0.014567805035376,0.013471680420139,0.018146599229735,0.0081670676350115,0.0079423873092816,0.012273323992954,0.0093269798124942,0.017747797457543,0.017173142003357,0.0092827454390979,0.0039193715771675,0.021058140960305,0.0075616544177257,0.011785306125745,0.012104386983455,0.011207415626835,0.021153218049606,0.01031128653268,0.0067775017384438,0.0063616475738883,0.015719164748994,0.0094728827606217,0.031651565388928,0.014452591987387,0.017908452063259,0.0016277936142602,0.01443918636343,0.0051883205169063,0.0056626890493095,0.017455044980019,0.008543109594224,0.011362281452704,0.021369755162169,0.0085622335497834,0.011990745064226,0.0022301287784688,0.0079431929662074,0.011930416491599,0.042223907330043,0.014143322898049,0.015976448766753,0.012359166331991,0.0096931576107627,0.011243976662092,0.0057905411138427,0.02087415694812,0.018557683734405,0.014748668623682,0.0062721846917286,0.015490626364316,0.025297661136038,0.012401394558772,0.0055523023603207,0.0076642551193133,0.01149160292025,0.066747533841014,0.011085986785632,0.0070282708602007,0.0025661460645223,0.033222257366324,0.012193523920318,0.04194144831442,0.018953950741258,0.014118992168937,0.0060219980547477,0.016092844198186,0.029433185917113,0.032158108750287,0.01115619837106,0.0092064465917284,0.011785306125745,0.020537323914236,0.019248396430122,0.019250174967667,0.010396928818226,0.016359350891181,0.011489007346054,0.010427056720958,0.0090406079876536,0.013127722747461
"life and style",0.06722449625111,0.014755601228668,0.024570759899932,0.0061750033960401,1,0.024606206229983,0.016092240780956,0.011373268521402,0.014650527331137,0.0061246654598583,0.029762447730576,0.022590033927566,0.018750237561102,0.017856343491313,0.032641058615978,0.0059754069287673,0.022785152627831,0.011348944077498,0.010343414160792,0.0264737321152,0.016617609630524,0.021896719706557,0.014373439140598,0.014957104618397,0.025223033266093,0.042630737915503,0.019709494430673,0.0091615164807922,0.019287051225444,0.025285519933521,0.028952138777154,0.017851027496234,0.0099573096656892,0.0082708399926093,0.025649228447938,0.0041968653419545,0.015712557207619,0.033748044851183,0.0092795391531979,0.034240352053566,0.028102397480981,0.0073342775509754,0.00940221004611,0.0026482722459769,0.018617133643528,0.023984112883906,0.0092990304286753,0.014199365357248,0.016936141463278,0.014159943748818,0.01418104656154,0.018089703682209,0.028299472211309,0.017073340871204,0.025302876074904,0.031073883056785,0.010934831600457,0.0085747552857351,0.010300878449868,0.013361278643099,0.011749208635389,0.034260775892511,0.015646668759172,0.01853618602605,0.020589014708428,0.025031289101524,0.014396851073343,0.011925809685691,0.028855271175465,0.0092368240828582,0.028845951916082,0.01521359175288,0.015385023679488,0.038161885816552,0.022947532931684,0.043355524001801,0.011466680252004,0.020251381764562,0.021896719706557,0.0092177414725341,0.015141010845425,0.025835488208027,0.0088620086453041,0.010261606462584,0.019730756183854,0.016673317772338,0.026672798067744,0.016580643559052
"television & radio",0.021051893463815,0.023979157901331,0.020189584925387,0.011314728031751,0.024606206229983,1,0.036884304018729,0.054421327293456,0.027783941123068,0.0096388605152883,0.070160138435079,0.022891095765068,0.073101226480256,0.013142891762026,0.014200114039265,0.026550698137975,0.04976204450185,0.021823784612148,0.025409543740645,0.02168174822728,0.029215687295854,0.074647134056829,0.021287208045145,0.088978282584413,0.047790670786821,0.032580267968806,0.013287062470905,0.027403080653279,0.022155803433893,0.04938652203198,0.049665439581434,0.045081719001305,0.023728191750282,0.014318511500145,0.019758508375209,0.010657118568247,0.026971422362895,0.041136784952015,0.01436288876734,0.032979355222292,0.017076452678564,0.019505971772124,0.014932626110553,0.011101229540619,0.073108641695242,0.097547012363249,0.028278680751687,0.027669348135615,0.015200917520118,0.051200306880951,0.030516873924844,0.046890898477501,0.069993749777158,0.017295741998696,0.010786273426073,0.038284733990569,0.043373159070136,0.027159602736492,0.036435192207136,0.033664122720946,0.010648589817524,0.035251124880159,0.017602330022058,0.055847587805018,0.051039478110984,0.0078552694618307,0.0053810614331193,0.036543455839528,0.012968338482823,0.028089509051736,0.053291812377834,0.028333762798153,0.052510227231469,0.014308807563292,0.052143479138755,0.037867496928122,0.0093647884080851,0.030587128047819,0.074647134056829,0.010470458890682,0.018909730046196,0.033695170222142,0.027297228864688,0.027094779622678,0.020275808729324,0.028741815545046,0.019543416353771,0.038366557384058
technology,0.024434076116367,0.012598227496127,0.012616205700057,0.022279735973669,0.016092240780956,0.036884304018729,1,0.014234171794527,0.025250969936758,0.010605176143464,0.031855309983366,0.0065102792826519,0.021141083752802,0.0057942510479462,0.0094881419269498,0.021829344980718,0.029171574487278,0.013154130241219,0.013987746648061,0.013235083264562,0.011785553311962,0.012411563697436,0.0097591379030585,0.01814472634752,0.031697650332734,0.027639971609725,0.0045213786894971,0.012814556865431,0.0078118154753691,0.029183415884996,0.030692327810268,0.031776843153646,0.014074253333967,0.0052678665858784,0.014719247690907,0.0079811742646344,0.020065633365773,0.025619881111169,0.0036242270062428,0.01436217026562,0.26389199510418,0.012876863024412,0.018885540902915,0.071288151193248,0.021143228254182,0.035638141960374,0.016872169986258,0.013045999153501,0.017359048176533,0.019904502830958,0.0067514039659267,0.019654327151677,0.031377709194964,0.024349143560196,0.015674559459502,0.036450484095321,0.0088582254811607,0.036570406432752,0.022603472420922,0.013168759042226,0.010428701309596,0.037993222276396,0.0075115221811149,0.035654972420266,0.014095656763462,0.0095656845627096,0.0020815869817318,0.039031691297241,0.018302020727665,0.016759302731021,0.024628435058253,0.025680316284823,0.011015444075461,0.016375092057151,0.048151831432573,0.014779504001459,0.017691807148258,0.033486300397529,0.012411563697436,0.0057441643506679,0.012455807160356,0.015111428221701,0.0091043298227687,0.021243230668556,0.014407900348556,0.063585517720831,0.0093506643683391,0.023986576832959
music,0.017764689016911,0.026602496054397,0.016918167102264,0.0085156521811692,0.011373268521402,0.054421327293456,0.014234171794527,1,0.052401434115554,0.0097539662990962,0.051545525622879,0.059257098521461,0.077307867230305,0.011861357851007,0.015016739667017,0.016418246785469,0.028341600790528,0.018368097343144,0.0059521548772999,0.029371012762454,0.013667486018649,0.059774956940643,0.020191946253041,0.024835254248394,0.026376970411739,0.020774873936721,0.0054364399546683,0.019721207629337,0.027949098779806,0.019740279081117,0.050481397276959,0.019221634418894,0.0080745912721892,0.0067434419627624,0.025660161858502,0.0041907035859915,0.03002340038079,0.031215945108633,0.018441049751612,0.030686843839398,0.0075649068884856,0.020480490231664,0.005867452198366,0.0042859472272927,0.077315709156948,0.021190101759604,0.019944287146698,0.020602815075545,0.020903953160206,0.059989257481092,0.011553153580056,0.032933160816161,0.027776918629945,0.018367220782596,0.0090530816914803,0.030673131139975,0.020372802418834,0.018653519459152,0.015077875955721,0.014383193370319,0.0031874840571477,0.011970008366763,0.0099146230082766,0.023181511944116,0.024961386263737,0.010806575155675,0.003675832002435,0.014703160297532,0.012249508690627,0.019810868804556,0.03065454527105,0.028043815339487,0.04727997177205,0.013745938736721,0.03153862957264,0.013061370423631,0.0075245489448044,0.02584916288131,0.059774956940643,0.015462263692469,0.0040899526543282,0.016670191173992,0.0062270952687303,0.035672381635145,0.0093495915613199,0.022483686344555,0.0097935472491352,0.032457971454317
"life and style",0.011282494565271,0.016079087203074,0.023868208254326,0.014567805035376,0.014650527331137,0.027783941123068,0.025250969936758,0.052401434115554,1,0.010979278526722,0.056743088092237,0.013647220820466,0.021865114732719,0.009073360481224,0.0085166222998606,0.038942363764852,0.021356762534644,0.026350225680536,0.019713558025403,0.022077374473951,0.011061127103606,0.023788969267648,0.021805209390004,0.032370568644057,0.034444560643769,0.019292413282055,0.0088794895788813,0.007524483314039,0.011613299157911,0.037930795685829,0.02106705848941,0.018129745388018,0.0097398208238268,0.0071447494604848,0.030611220791334,0.0070036174791486,0.025910382902366,0.040016633925976,0.0097895645177814,0.023385129498286,0.019458605557117,0.017610535936969,0.011111129804436,0.0070174246097331,0.021867332678084,0.0073586416712089,0.0089057609289612,0.014799878560273,0.011035026479278,0.031649984764332,0.011625261016744,0.027775451235138,0.042839457523894,0.01010821574251,0.014468709423031,0.028487073861121,0.022453855433529,0.019349338393803,0.010277003810365,0.0099853964164973,0.016766514094887,0.023739305329878,0.021665162339184,0.022127000588458,0.022676186123443,0.0089630012634257,0.00060441364997443,0.01600567195448,0.007798426972542,0.0088461853798368,0.040984968611402,0.076396448637449,0.016351649737929,0.028172426849441,0.036728996876322,0.010341318066139,0.017402722618429,0.046363770452898,0.023788969267648,0.041412760109257,0.017451929699445,0.01561928598752,0.011177876040005,0.047339641010578,0.010933107751989,0.030874740417645,0.0083746408223479,0.043805132352496
environment,0.011408322890554,0.0062558157014737,0.0084307549706915,0.013471680420139,0.0061246654598583,0.0096388605152883,0.010605176143464,0.0097539662990962,0.010979278526722,1,0.022422506585947,0.0097753030476342,0.0096885041294967,0.057060530425372,0.015358741925315,0.0064432275957624,0.010767969980581,0.0079950224366657,0.0097568649539654,0.010300068804795,0.0089019096075646,0.0079021814112997,0.0083413609514437,0.027460266636353,0.012962751043927,0.0087055760631661,0.020448785137926,0.0095767632500683,0.0045732987620028,0.010714807836519,0.018706086589795,0.0087787684578952,0.022085707786147,0.0080659999224937,0.008525954302539,0.015067428739663,0.008011492827945,0.020403601497412,0.0068458361909791,0.024851333713122,0.016351836507294,0.0068649941004786,0.0091910207966554,0.0028597806613704,0.0096894869083701,0.0080459908653813,0.0073032716397448,0.0044372974328176,0.0080316844128337,0.0076237874371349,0.0056671645049731,0.018634494280526,0.0080590050324197,0.01758306055005,0.0065905558887105,0.012309664716528,0.0036166880147737,0.016446588341566,0.0086058505008053,0.0071062304256525,0.013861968044852,0.031968875319585,0.017385019488286,0.028239904755529,0.01416839466234,0.005902943304251,0.00046500326573035,0.0087197891059239,0.011478108540543,0.0072544160257425,0.012150332075426,0.01338006938652,0.010684552116885,0.025529321303295,0.018110946771859,0.047751890517896,0.0089322908564176,0.011371856468185,0.0079021814112997,0.028559426090085,0.0088874023965757,0.009229448859845,0.020929836402449,0.0070651377351673,0.0038624394411739,0.01469081198498,0.0077278261697473,0.012048641138713
